M,N,K,MAGMA_Tflops/s,ms1,cuBLAS_Tflops/s,ms2,magma_L1_hit_rate,magma_L2_hit_rate,cublas_L1_hit_rate,cublas_L2_hit_rate,magma_flo,cu_flo,magma_flo_mkn2,cu_flo_mkn2,mat
15360,1024,15360,26.06451,18.54,53.87654,8.97,0.32,48.74,0.53,90.66,483236015399.99994,483272563800.0,483183820800,483183820800,tallskinny_sgemm_15360_1024
15360,2048,15360,26.06401,37.08,53.89875,17.93,0.3,48.69,0.54,94.24,966453490800.0,966404587499.9999,966367641600,966367641600,tallskinny_sgemm_15360_2048
15360,4096,15360,27.25246,70.92,54.419779999999996,35.52,0.3,49.23,0.54,94.38,1932744463200.0,1932990585600.0,1932735283200,1932735283200,tallskinny_sgemm_15360_4096
15360,8192,15360,27.15247,142.36,54.06248,71.5,0.3,49.22,0.54,93.89,3865425629200.0005,3865467320000.0,3865470566400,3865470566400,tallskinny_sgemm_15360_8192
16384,16,16384,2.86968,2.99,7.54582,1.14,0.14,14.18,0,11.1,8580343200.0,8602234800.0,8589934592,8589934592,tallskinny_sgemm_16384_16
16384,32,16384,5.728560000000001,3.0,15.030790000000001,1.14,0.2,24.77,0,19.95,17185680000.0,17135100600.000002,17179869184,17179869184,tallskinny_sgemm_16384_32
16384,64,16384,11.34855,3.03,29.06916,1.18,0.29,39.53,17.06,21.3,34386106500.0,34301608799.999992,34359738368,34359738368,tallskinny_sgemm_16384_64
16384,128,16384,15.8974,4.32,53.77098,1.28,0.26,47.51,3.81,36.44,68676768000.0,68826854400.0,68719476736,68719476736,tallskinny_sgemm_16384_128
16384,256,16384,19.87453,6.92,59.13024,2.32,0.32,52.83,0.5,66.37,137531747599.99997,137182156800.00002,137438953472,137438953472,tallskinny_sgemm_16384_256
16384,512,16384,22.57974,12.17,60.236230000000006,4.56,0.3,57.29,0.51,82.74,274795435800.0,274677208800.00003,274877906944,274877906944,tallskinny_sgemm_16384_512
16384,1024,16384,26.16263,21.01,57.93624,9.49,0.29,54.29,0.51,90.73,549676856300.00006,549814917599.9999,549755813888,549755813888,tallskinny_sgemm_16384_1024
16384,2048,16384,26.14048,42.06,57.48894,19.13,0.29,51.48,0.51,94.34,1099468588800.0002,1099763422200.0,1099511627776,1099511627776,tallskinny_sgemm_16384_2048
16384,4096,16384,26.95146,81.59,57.58465,38.19,0.28,50.66,0.51,94.29,2198969621399.9998,2199157783500.0,2199023255552,2199023255552,tallskinny_sgemm_16384_4096
16384,8192,16384,27.16157,161.92,56.77878,77.46,0.28,49.95,0.51,93.09,4398001414399.9995,4398084298800.0,4398046511104,4398046511104,tallskinny_sgemm_16384_8192
