/ssget/MM/Grund/poli4/poli4.cbd,9,2,3759,31564
/ssget/MM/Grund/b_dyn/b_dyn.cbd,11,1,99,268
/ssget/MM/Grund/meg4/meg4.cbd,14,1,418,1128
/ssget/MM/Grund/meg1/meg1.cbd,9,3,322,1562
/ssget/MM/Grund/poli_large/poli_large.cbd,7,2,2225,15021
/ssget/MM/Grund/d_dyn/d_dyn.cbd,7,1,12,22
/ssget/MM/Grund/poli3/poli3.cbd,8,5,2119,13915
/ssget/MM/Grund/d_dyn1/d_dyn1.cbd,7,1,12,22
/ssget/MM/Grund/bayer09/bayer09.cbd,7,48,440,1250
/ssget/MM/Grund/poli/poli.cbd,5,1,801,3759
/ssget/MM/Grund/bayer04/bayer04.cbd,8,2,2568,7266
/ssget/MM/Grund/d_ss/d_ss.cbd,5,2,10,20
/ssget/MM/Grund/bayer06/bayer06.cbd,5,3,601,1282
/ssget/MM/Grund/b2_ss/b2_ss.cbd,11,1,99,286
/ssget/MM/Grund/b1_ss/b1_ss.cbd,2,3,3,4
/ssget/MM/Grund/bayer07/bayer07.cbd,5,3,653,1406
/ssget/MM/Grund/bayer10/bayer10.cbd,8,39,1679,4093
/ssget/MM/Grund/bayer01/bayer01.cbd,6,53,9622,22252
/ssget/MM/Grund/bayer05/bayer05.cbd,5,3,653,1406
/ssget/MM/Grund/bayer02/bayer02.cbd,7,4,1990,5352
/ssget/MM/Grund/bayer03/bayer03.cbd,10,7,674,2434
/ssget/MM/Grund/bayer08/bayer08.cbd,5,3,601,1282
/ssget/MM/SNAP/soc-Pokec/soc-Pokec.cbd,1567,6,1041,230404
/ssget/MM/SNAP/ca-HepPh/ca-HepPh.cbd,245,1,49,2359
/ssget/MM/SNAP/p2p-Gnutella25/p2p-Gnutella25.cbd,15,1,1512,17370
/ssget/MM/SNAP/roadNet-PA/roadNet-PA.cbd,472,2,2311,139777
/ssget/MM/SNAP/roadNet-TX/roadNet-TX.cbd,344,1,4050,192075
/ssget/MM/SNAP/amazon0505/amazon0505.cbd,137,1,2994,17394
/ssget/MM/SNAP/higgs-twitter/higgs-twitter.cbd,1530,2,298,18632
/ssget/MM/SNAP/com-Youtube/com-Youtube.cbd,704,1,1612,11098
/ssget/MM/SNAP/wiki-Vote/wiki-Vote.cbd,153,3,54,3280
/ssget/MM/SNAP/sx-superuser/sx-superuser.cbd,346,9,560,70216
/ssget/MM/SNAP/amazon0302/amazon0302.cbd,51,1,5139,15715
/ssget/MM/SNAP/ca-CondMat/ca-CondMat.cbd,75,1,308,4650
/ssget/MM/SNAP/p2p-Gnutella09/p2p-Gnutella09.cbd,16,5,507,5485
/ssget/MM/SNAP/p2p-Gnutella30/p2p-Gnutella30.cbd,14,11,2620,28276
